key,title,authors,year,venue,arxiv_or_id,url,github,category,memory_representation,semantic_dedup,cross_context_reuse,multi_view,token_optimization,context_compression,graph_or_hierarchy,benchmarks,main_results,relevance_to_project,verification
memgpt2023,MemGPT: Towards LLMs as Operating Systems,"Packer, Wooders, Lin, Fang, Patil, Stoica, Gonzalez",2023,arXiv (basis of Letta),arXiv:2310.08560,https://arxiv.org/abs/2310.08560,github.com/letta-ai/letta,agent-memory-system,Tiered NL text (main/core context + external archival),No,Yes (persistent archival across sessions),Partial (main vs archival tiers),Yes (paging to fit fixed window),Yes (recursive summarization/eviction),Hierarchical (OS-style two-tier),DMR / doc QA / multi-session chat,Extends effective context beyond window via paging,HIGH: token-budgeted composition via paging is the reference mechanism,K (well-known)
mem0_2025,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,"Chhikara, Khant, Aryan, et al.",2025,arXiv preprint,arXiv:2504.19413,https://arxiv.org/abs/2504.19413,github.com/mem0ai/mem0,agent-memory-system,Salient NL facts (Mem0) + directed labeled graph (Mem0^g),Yes (explicit ADD/UPDATE/DELETE consolidation),Yes (persistent cross-session),Partial (vector vs graph representation),Yes (>90% token cost savings claimed),Yes (stores distilled facts),Graph (Mem0^g),LoCoMo,"LLM-judge +26% vs OpenAI; 91% lower p95 latency; >90% token cost",VERY HIGH: extracted reusable facts + dedup/consolidation + token savings + dual views,A (arXiv-fetched)
amem2025,A-MEM: Agentic Memory for LLM Agents,"Xu, Liang, Mei, Gao, Tan, Zhang",2025,NeurIPS 2025,arXiv:2502.12110,https://arxiv.org/abs/2502.12110,github.com/agiresearch/A-mem,agent-memory-system,Zettelkasten notes (contextual desc + keywords + tags) dynamically linked,Partial (memory evolution updates linked notes; no explicit dedup module),Yes (evolving interconnected notes),Partial (multi-attribute notes),UNVERIFIED,Yes (notes distill raw interactions),Graph (linked note network),LoCoMo / DialSim (6 LLMs),Improvements over SOTA baselines across 6 models,VERY HIGH: closest to canonical reusable units + multi-attribute facets + linking,A (arXiv-fetched)
genagents2023,Generative Agents: Interactive Simulacra of Human Behavior,"Park, O'Brien, Cai, Morris, Liang, Bernstein",2023,UIST 2023,arXiv:2304.03442,https://arxiv.org/abs/2304.03442,github.com/joonspk-research/generative_agents,agent-memory-system,NL memory stream (timestamped observations + reflections),No,Yes (persistent stream drives behavior),Partial (observation vs reflection layers),Yes (top-scored retrieval fits budget),Yes (reflection synthesizes observations),Hierarchical (obs -> reflection),Human believability + ablations,Full architecture most believable; ablations degrade it,HIGH: canonical recency/importance/relevance scoring + reflection compression,K (well-known)
memorybank2023,MemoryBank: Enhancing LLMs with Long-Term Memory,"Zhong, Guo, Gao, Ye, Wang",2023,AAAI 2024,arXiv:2305.10250,https://arxiv.org/abs/2305.10250,github.com/zhongwanjun/MemoryBank-SiliconFriend,agent-memory-system,Dialogue memories + event summaries + user personality profile,No (uses Ebbinghaus forgetting-curve decay instead),Yes (persistent companion memory),Partial (dialogue vs event vs personality),Indirect (summaries limit context),Yes (hierarchical summarization),Hierarchical summaries,SiliconFriend companion (qualitative),Demonstrates consolidation + forgetting-curve updating,MED-HIGH: forgetting-curve lifecycle + hierarchical views,K (well-known)
reflexion2023,Reflexion: Language Agents with Verbal Reinforcement Learning,"Shinn, Cassano, Berman, Gopinath, Narasimhan, Yao",2023,NeurIPS 2023,arXiv:2303.11366,https://arxiv.org/abs/2303.11366,github.com/noahshinn/reflexion,agent-memory-experience,NL self-reflections in episodic buffer,No,Yes (reflections reused across retry episodes),No,Bounded buffer (minor),Yes (reflection compresses a trajectory),Short-term vs long-term buffer,HotPotQA / ALFWorld / HumanEval,Widely-cited 91% pass@1 HumanEval (verify before quoting),MED: canonical experience/lesson reuse,K (well-known)
memoryllm2024,MemoryLLM: Towards Self-Updatable Large Language Models,"Wang, et al.",2024,ICML 2024,arXiv:2402.04624,https://arxiv.org/abs/2402.04624,github.com/wangyu-ustc/MemoryLLM,parametric-memory,Fixed-size latent memory pool in hidden states,No,Yes (injected knowledge persists),No,Yes (latent memory avoids context tokens),Yes (compresses knowledge to hidden states),Per-layer memory pool,Model-editing / knowledge retention,Effective injection; retention degrades beyond ~20k tokens,MED: parametric-memory paradigm boundary (contrast),K (well-known)
mplus2025,M+: Extending MemoryLLM with Scalable Long-Term Memory,"Wang, et al.",2025,ICML 2025,arXiv:2502.00592,https://arxiv.org/abs/2502.00592,UNVERIFIED,parametric-memory,Latent pool + growing long-term token store + learned retriever,No,Yes,No,Yes (extends retention at similar GPU cost),Yes (latent compression + retrieval),Short-term pool + long-term store,Long-context retention tasks,"Extends retention <20k -> >160k tokens; beats MemoryLLM",MED: hybrid latent+retrieval scaling (parametric paradigm),K (well-known)
langmem2025,LangMem SDK for Long-Term Agent Memory,"LangChain, Inc.",2025,SDK/blog (no paper),N/A,https://www.langchain.com/blog/langmem-sdk-launch,github.com/langchain-ai/langmem,practitioner-sdk,Semantic/episodic/procedural NL memories,Yes (docs: consolidates and deduplicates over time),Yes (cross-thread user-scoped),Yes (semantic/episodic/procedural),Indirect (retrieval-scoped),Yes (consolidation),Three memory types,None (product),No formal evaluation,HIGH (practitioner): explicitly consolidation+dedup+multi-view; cite as SDK not paper,K (SDK docs)
hipporag2024,HippoRAG: Neurobiologically Inspired Long-Term Memory for LLMs,"Gutierrez, Shu, Gu, Yasunaga, Su",2024,NeurIPS 2024,arXiv:2405.14831,https://arxiv.org/abs/2405.14831,github.com/OSU-NLP-Group/HippoRAG,graph-memory,Open KG (triples) as hippocampal index + passages,Partial (entity resolution/synonymy merges nodes),Yes (persistent corpus KG),Partial (passages vs graph index),Yes (single-step retrieval cheaper),No (retrieves passages),Graph (open KG),Multi-hop QA (MuSiQue/2Wiki/HotpotQA),"+up to 20% multi-hop QA; 10-20x cheaper, 6-13x faster retrieval",HIGH: graph memory + entity dedup + cost-efficient retrieval,K (well-known)
hipporag2_2025,From RAG to Memory: Non-Parametric Continual Learning for LLMs (HippoRAG 2),"Gutierrez, Shu, Qi, Zhou, Su",2025,ICML 2025,arXiv:2502.14802,https://arxiv.org/abs/2502.14802,github.com/OSU-NLP-Group/HippoRAG,graph-memory,Open KG (entities+passages) with deeper passage integration,Partial (entity resolution),Yes (continual integration),No,UNVERIFIED,No,Graph (KG),Factual/sensemaking/associative QA,Beats standard RAG; +7% associative memory over SOTA embedder,HIGH: continual graph memory; entity dedup analog,A (arXiv-fetched)
memoryos2025,Memory OS of AI Agent,"Kang, Ji, Zhao, et al.",2025,EMNLP 2025 (Oral),arXiv:2506.06326,https://arxiv.org/abs/2506.06326,github.com/BAI-LAB/MemoryOS,agent-memory-system,NL memories across short/mid/long tiers + user/agent personas,Partial (heat-based tier consolidation/eviction),Yes (persistent personalized),Partial (tiers + user vs agent),Yes (tiered promotion limits context),Yes (summarization on promotion),Hierarchical (3-tier OS paging),LoCoMo,"F1 +49.1% and BLEU-1 +46.2% avg over baselines (GPT-4o-mini)",HIGH: modern OS-style hierarchical token-budgeted composition,A (arXiv-fetched)
zep2025,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,"Rasmussen, Paliychuk, Beauvais, Ryan, Chalef",2025,arXiv preprint,arXiv:2501.13956,https://arxiv.org/abs/2501.13956,github.com/getzep/graphiti,graph-memory,Bi-temporal KG (episodic nodes + semantic entities/facts + community summaries),Yes (entity resolution + edge/fact invalidation over time),Yes (persistent shared graph),Yes (episodic/semantic/community tiers),Yes (retrieval scoped to subgraph),Yes (community summaries),Graph (bi-temporal KG) + hierarchy,DMR / LongMemEval,"DMR 94.8% vs MemGPT 93.4%; LongMemEval +up to 18.5%, ~90% latency cut",VERY HIGH: temporal graph + dedup/invalidation + multi-tier views,A (arXiv-fetched)
lightmem2025,LightMem: Lightweight and Efficient Memory-Augmented Generation,"Fang, Deng, Xu, Jiang, Tang, Xu, Deng, Yao, Wang, Qiao, Chen, Zhang",2025,ICLR 2026 (accepted),arXiv:2510.18866,https://arxiv.org/abs/2510.18866,open-sourced (URL unconfirmed),agent-memory-system,Structured memory entries (facts/entities/timestamps/topic/summary),Yes (offline update detects overlap -> conflict detection + LLM knowledge fusion),Yes (persistent long-term store),No (single structured-entry view),Yes (lightweight compression + deferred updates),Yes (compressed summaries),Hierarchical (sensory -> short -> long),LongMemEval (GPT & Qwen),"QA +up to 7.7%/29.3%; token usage -up to 38x/20.9x; API calls -up to 30x/55.5x",HIGH: canonical structured units + semantic-dedup-via-fusion + token budgeting,V (fetched this session)
memoryr1_2025,Memory-R1: Enhancing LLM Agents to Manage and Utilize Memories via RL,"Yan, Yang, Huang, et al.",2025,arXiv preprint,arXiv:2508.19828,https://arxiv.org/abs/2508.19828,UNVERIFIED,agent-memory-system,External NL memory bank (temporal),Implicit (learned UPDATE/DELETE),Yes (persistent bank),No,Indirect (answer-agent pre-selection),No,Flat bank + learned ops,LoCoMo (vs LangMem/A-Mem/Mem0/Zep),Outperforms baselines; RL (PPO/GRPO) with as few as 152 QA pairs,MED-HIGH: learned lifecycle mgmt relevant to unit curation/dedup,A (arXiv-fetched)
higmem2026,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,"Cao, He, Tan",2026,Findings of ACL 2026,arXiv:2604.18349,https://arxiv.org/abs/2604.18349,ZeroLoss-Lab (URL unconfirmed),agent-memory-system,Two-level event-turn memory (turn detail + event summaries/fact sheets),UNVERIFIED,Yes (long-term conversational recall),Partial (turn vs event granularity),Yes (anchor-guided retrieval reduces evidence set),Yes (event summaries),Hierarchical (event-turn, not graph),LoCoMo10,Adversarial F1 0.54 -> 0.78 vs A-Mem with fewer retrieved turns,HIGH: hierarchical units + multi-granularity views + token-budgeted retrieval,V (fetched this session)
gmemory2025,G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems,"Zhang, Fu, Wan, Yu, Wang, Yan",2025,NeurIPS 2025 (spotlight),arXiv:2506.07398,https://arxiv.org/abs/2506.07398,github.com/bingreeky/GMemory,graph-memory-multiagent,Three-tier graph hierarchy (insight/query/interaction graphs),UNVERIFIED,Yes (cross-trial reuse + agent-specific customization),Yes (insight vs query vs interaction),UNVERIFIED,UNVERIFIED,Graph (3 interacting graphs) + hierarchy,5 benchmarks x 3 LLMs x 3 MAS frameworks,"+up to 20.89% embodied success; +10.12% knowledge QA",HIGH: hierarchical graph units + multi-view + explicit cross-task reuse,V (fetched this session)
memgas2025,From Single to Multi-Granularity: Long-Term Memory Association and Selection (MemGAS),"Xu, Wen, Jia, Zhang, Zhang, Wang, Guo, Tang, Zhao, Chen, Xu",2025,arXiv preprint,arXiv:2505.19549,https://arxiv.org/abs/2505.19549,UNVERIFIED,agent-memory-system,Multi-granularity memory units in association network,Partial (GMM clustering consolidates/associates),Yes (associates new with historical memories),Yes (core: multi-granularity views),Indirect (granularity selection balances noise),Partial,Graph (multi-granularity association),4 long-term memory benchmarks,Outperforms SOTA on QA and retrieval,VERY HIGH: directly on multi-view/multi-granularity + adaptive selection,V (fetched this session)
memtree2024,Dynamic Tree Memory Representation for LLMs (MemTree),"Rezazadeh, Li, Wei, Bao",2024,arXiv preprint,arXiv:2410.14052,https://arxiv.org/abs/2410.14052,UNVERIFIED,agent-memory-system,Dynamic tree; each node = aggregated text + embedding at an abstraction level,Implicit (node aggregation/merge on insert),Yes (persistent schema),Yes (abstraction levels across depth),Yes (node aggregation compresses),Yes,Hierarchical (tree),LongMemEval / multi-turn QA,F1 ~36.9 at 7B in a comparative study,HIGH: hierarchical multi-granularity units with merge-on-insert,A (arXiv-fetched)
recmem2026,RecMem: Recurrence-based Memory Consolidation for Efficient Long-Running LLM Agents,"Dai, Deng, Guan, Tian, Yao, Yan, Cheng",2026,Findings of ACL 2026,arXiv:2605.16045,https://arxiv.org/abs/2605.16045,UNVERIFIED,agent-memory-system,Subconscious embedding layer + episodic/semantic memory (LLM-extracted on recurrence),Implicit (recurrence = semantic clustering before consolidation),Yes,Partial (episodic vs semantic),Yes (core: deferred consolidation),Yes,Two-layer (subconscious -> consolidated),vs 3 SOTA memory systems,Up to 87% reduction in memory-construction token cost with higher accuracy,HIGH: semantic-clustering-triggered consolidation + token budgeting,V (fetched this session)
agemem2026,Agentic Memory: Unified Long-Term and Short-Term Memory Management (AgeMem),"Yu, Yao, Xie, Tan, Feng, Li, Wu",2026,arXiv preprint,arXiv:2601.01885,https://arxiv.org/abs/2601.01885,UNVERIFIED,agent-memory-system,Memory operated via callable tools (store/retrieve/update/summarize/discard),Implicit (learned update/discard/summarize),Yes,Partial (long vs short term),Yes (summarize/discard ops),Yes,Unified long+short term,ALFWorld/SciWorld/PDDL/BabyAI/HotpotQA,Qwen3-4B 54.31% avg vs A-Mem 45.74% (figure partially unverified),MED-HIGH: learned lifecycle incl summarize/discard for token budgeting,A (arXiv-fetched; result via secondary)
ocrmemory2026,OCR-Memory: Optical Context Retrieval for Long-Horizon Agent Memory,"Li, Zhang, Yang, Qu, Xu, Yang, Ding, Ngai",2026,ACL 2026 (Main),arXiv:2604.26622,https://arxiv.org/abs/2604.26622,UNVERIFIED,agent-memory-system,Visual: trajectories rendered to annotated images with visual anchors,UNVERIFIED,Yes (arbitrarily long histories),Yes (visual modality as an alternative view of experience),Yes (core: minimal prompt overhead),Yes (high-density visual encoding),Episode-indexed visual store,Mind2Web / long-horizon agent benchmarks,Mind2Web text tokens 3980 -> 596 per step (6.7x),VERY HIGH (multi-view + token budget): distinct modality-based view; contrast point,V (fetched this session)
graphrag2024,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,"Edge, Trinh, Cheng, et al.",2024,arXiv (Microsoft Research),arXiv:2404.16130,https://arxiv.org/abs/2404.16130,github.com/microsoft/graphrag,graph-memory,LLM-built entity KG + pre-generated community summaries (Leiden),Partial (entity resolution during construction),Yes (persistent corpus graph),Yes (community summaries at multiple levels),Yes (summaries pre-compress corpus),Yes,Graph (KG + community hierarchy),~1M-token corpora sensemaking,Gains in comprehensiveness + diversity over naive RAG,HIGH: hierarchical graph memory; community summaries = multi-view compressed units,K (well-known)
cognee2025,Optimizing the Interface Between Knowledge Graphs and LLMs for Complex Reasoning (Cognee),"Markovic, Obradovic, Hajdu, et al.",2025,arXiv preprint,arXiv:2505.24478,https://arxiv.org/abs/2505.24478,github.com/topoteretes/cognee,graph-memory-framework,ECL pipeline -> graph+vector+relational stores,UNVERIFIED,Yes,Partial (graph vs vector vs relational),UNVERIFIED,No,Graph,HotpotQA/2WikiMultiHop/MuSiQue,Evaluates Cognee hyperparameters,MED: framework; cite via this eval paper,A (arXiv-fetched)
gist2023,Learning to Compress Prompts with Gist Tokens,"Mu, Li, Goodman",2023,NeurIPS 2023,arXiv:2304.08467,https://arxiv.org/abs/2304.08467,github.com/jayelm/gisting,context-compression,Gist tokens (KV-cache prefix compressing a prompt),No,Yes (one gist prefix reused across queries),No,Yes (up to 26x prompt compression),Yes (up to 26x),No,Instruction-following (ROUGE-L/win rate),Up to 26x compression with minimal loss; ~40% FLOPs cut,HIGH: reusable compressed prompt unit + token budgeting,A (arXiv-fetched)
autocomp2023,Adapting Language Models to Compress Contexts (AutoCompressor),"Chevalier, Wettig, Ajith, Chen",2023,EMNLP 2023,arXiv:2305.14788,https://aclanthology.org/2023.emnlp-main.232/,github.com/princeton-nlp/AutoCompressors,context-compression,Summary vectors (soft-prompt tokens) accumulated recurrently,No,Yes (substitute for in-context demos across queries),No,Yes (long docs -> few summary vectors),Yes,Recursive/segmental,LM perplexity / ICL accuracy,Effective compressed substitutes; improved perplexity,HIGH: recurrent compression + reusable soft-prompt units,A (arXiv-fetched)
icae2024,In-context Autoencoder for Context Compression (ICAE),"Ge, Hu, Wang, Wang, Chen, Wei",2024,ICLR 2024,arXiv:2307.06945,https://arxiv.org/abs/2307.06945,github.com/getao/icae,context-compression,Memory slots (compressed embeddings),No,Partial,No,Yes (4x compression),Yes (4x),No,Autoencoding + downstream tasks,4x compression with ~1% added params,HIGH: token-budgeted compressed memory units,A (arXiv-fetched)
compact2024,CompAct: Compressing Retrieved Documents Actively for QA,"Yoon, Lee, Hwang, Jeong, Kang",2024,EMNLP 2024,arXiv:2407.09014,https://arxiv.org/abs/2407.09014,github.com/dmis-lab/CompAct,context-compression,NL compressed summaries of retrieved docs (iterative),Implicit (drops redundant content),No (per-query),No,Yes (up to 47x),Yes (up to 47x),Iterative accumulation,Multi-hop QA,Gains in performance + compression on multi-hop QA,MED-HIGH: query-aware active compression; no persistent units,A (arXiv-fetched)
xrag2024,xRAG: Extreme Context Compression for RAG with One Token,"Cheng, Wang, Zhang, Ge, Chen, Wei, Zhang, Zhao",2024,NeurIPS 2024,arXiv:2405.13792,https://arxiv.org/abs/2405.13792,github.com/Hannibal046/xRAG,context-compression,Reuses dense-retrieval doc embedding as one modality token,No,Yes (offline doc embeddings reused),No,Yes (doc -> 1 token; 3.53x FLOPs cut),Yes (extreme),No,6 knowledge-intensive tasks,>10% avg over prior compression; matches uncompressed on several,HIGH: reusable offline embedding units + extreme budgeting,A (arXiv-fetched)
c500x2024,500xCompressor: Generalized Prompt Compression for LLMs,"Li, Su, Collier",2024,ACL 2025,arXiv:2408.03094,https://arxiv.org/abs/2408.03094,github.com/ZongqianLi/500xCompressor,context-compression,Compressed into as few as one KV token,No,Yes (compress-once reuse across questions),No,Yes (6x-500x compression),Yes (6x-500x),No,Unseen + cross-domain QA (F1/EM),Retains 70-74% F1 and 77-84% EM of uncompressed,HIGH: extreme token-budgeted reusable compressed units,A (arXiv-fetched)
